runId,time,S,E,I1,I2,G1,G2,R,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,0.0,1000,0,0,0,0,0,0,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,1.0,929,51,10,10,0,0,0,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,2.0,926,38,21,13,0,0,2,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,3.0,900,34,44,19,0,0,3,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,4.0,858,61,52,26,0,0,3,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,5.0,839,41,80,34,0,0,6,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,6.0,791,63,98,40,0,0,8,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,7.0,760,59,130,44,0,0,7,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,8.0,707,70,159,54,0,0,10,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,9.0,670,71,190,59,0,0,10,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,10.0,618,75,225,69,0,0,13,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,11.0,572,74,262,77,0,0,15,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,12.0,508,95,295,86,0,0,16,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,13.0,465,83,335,98,0,0,19,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,14.0,408,85,369,114,0,0,24,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,15.0,355,88,410,124,0,0,23,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,16.0,301,98,437,139,0,0,25,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,17.0,264,69,480,157,0,0,30,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,18.0,211,77,513,168,0,0,31,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,19.0,177,62,555,175,0,0,31,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,20.0,137,65,580,182,0,0,36,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,21.0,114,52,607,189,0,0,38,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,22.0,78,47,630,203,0,0,42,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,23.0,58,41,642,209,0,0,50,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,24.0,46,26,651,216,0,0,61,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,25.0,30,25,654,222,0,0,69,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,26.0,26,17,656,225,0,0,76,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,27.0,17,12,652,230,0,0,89,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,28.0,9,12,642,233,0,0,104,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,29.0,6,9,638,235,0,0,112,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,30.0,3,5,625,231,0,0,136,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,31.0,2,2,615,225,0,0,156,60.0,true,true,4,6,0.1,10,10,28
T60_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241617525,32.0,1,2,605,218,0,0,174,60.0,true,true,4,6,0.1,10,10,28
