runId,time,S,E,I1,I2,G1,G2,R,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,0.0,1000,0,0,0,0,0,0,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,1.0,934,46,10,10,0,0,0,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,2.0,933,30,19,16,0,0,2,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,3.0,910,26,33,28,0,0,3,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,4.0,886,34,46,31,0,0,3,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,5.0,862,38,61,35,0,0,4,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,6.0,836,35,81,45,0,0,3,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,7.0,806,43,96,51,0,0,4,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,8.0,775,54,112,54,0,0,5,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,9.0,745,52,131,66,0,0,6,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,10.0,705,57,158,73,0,0,7,0,30.0,true,false,4,6,0.1,10,10,3
M0_T30_ontrue_offfalse_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781287258603,11.0,667,62,188,75,0,0,8,0,30.0,true,false,4,6,0.1,10,10,3
