runId,time,S,E,I1,I2,G1,G2,R,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,0.0,1000,0,0,0,0,0,0,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,1.0,932,48,10,10,0,0,0,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,2.0,929,31,24,16,0,0,0,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,3.0,898,34,47,18,0,0,3,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,4.0,859,54,60,24,0,0,3,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,5.0,828,55,81,32,0,0,4,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,6.0,798,44,109,44,0,0,5,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,7.0,747,70,128,50,0,0,5,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,8.0,715,70,150,59,0,0,6,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,9.0,684,52,188,69,0,0,7,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,10.0,626,76,213,77,0,0,8,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,11.0,584,77,239,91,0,0,9,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,12.0,530,80,271,107,0,0,12,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,13.0,479,80,309,120,0,0,12,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,14.0,420,91,344,131,0,0,14,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,15.0,383,75,379,145,0,0,18,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,16.0,335,80,411,155,0,0,19,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,17.0,302,59,453,166,0,0,20,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,18.0,241,84,482,171,0,0,22,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,19.0,212,71,514,180,0,0,23,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,20.0,178,54,550,194,0,0,24,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,21.0,150,50,572,200,0,0,28,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,22.0,117,50,587,210,0,0,36,0,30.0,true,false,4,6,0.1,10,10,15
M0_T30_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p2_gOff0p0_1781497722660,23.0,98,35,609,219,0,0,39,0,30.0,true,false,4,6,0.1,10,10,15
