runId,time,S,E,I1,I2,G1,G2,R,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,0.0,1000,0,0,0,0,0,0,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,1.0,935,45,10,10,0,0,0,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,2.0,934,33,18,14,0,0,1,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,3.0,909,29,36,24,0,0,2,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,4.0,884,42,42,29,0,0,3,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,5.0,868,32,61,35,0,0,4,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,6.0,836,44,77,37,0,0,6,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,7.0,808,44,95,46,0,0,7,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,8.0,779,43,115,55,0,0,8,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,9.0,743,59,132,58,0,0,8,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,10.0,711,53,153,74,0,0,9,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,11.0,668,62,178,81,0,0,11,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,12.0,628,74,196,93,0,0,9,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,13.0,602,48,232,104,0,0,14,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,14.0,550,73,252,111,0,0,14,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,15.0,523,62,278,122,0,0,15,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,16.0,473,68,307,135,0,0,17,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,17.0,424,79,338,142,0,0,17,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,18.0,370,96,359,154,0,0,21,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,19.0,344,65,394,171,0,0,26,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,20.0,290,66,431,184,0,0,29,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,21.0,242,78,460,189,0,0,31,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,22.0,190,84,491,198,0,0,37,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,23.0,159,70,522,208,0,0,41,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,24.0,124,64,543,219,0,0,50,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,25.0,108,40,570,227,0,0,55,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,26.0,81,38,586,235,0,0,60,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,27.0,67,32,598,236,0,0,67,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,28.0,54,24,606,234,0,0,82,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,29.0,43,21,612,236,0,0,88,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,30.0,41,6,613,239,0,0,101,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,31.0,34,9,612,239,0,0,106,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,32.0,31,9,608,235,0,0,117,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,33.0,28,5,606,240,0,0,121,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,34.0,24,7,597,235,0,0,137,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,35.0,19,8,587,229,0,0,157,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,36.0,19,4,584,229,0,0,164,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,37.0,13,7,562,226,0,0,192,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,38.0,12,3,558,224,0,0,203,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,39.0,10,3,548,219,0,0,220,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,40.0,10,0,538,219,0,0,233,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,41.0,8,2,518,218,0,0,254,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,42.0,8,1,508,214,0,0,269,60.0,true,true,4,6,0.1,10,10,20
T60_ontrue_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781241305685,43.0,5,3,493,211,0,0,288,60.0,true,true,4,6,0.1,10,10,20
